row_num,id,name,query_used,strategy,selected_text,selected_href,selected_detail_id,status,note
1,0003-mega,メガフシギバナ,メガフシギバナ,exact,メガフシギバナ,https://zukan.pokemon.co.jp/detail/0003-1,0003-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/84e2faef6027fd74bc44402c7523070f.png
2,0006-megaX,メガリザードンX,リザードン,drop_suffix_letter,メガリザードンＸ,https://zukan.pokemon.co.jp/detail/0006-1,0006-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/76d16e1814d038fd090a161da1d1840c.png
3,0006-megaY,メガリザードンY,リザードン,drop_suffix_letter,メガリザードンＹ,https://zukan.pokemon.co.jp/detail/0006-2,0006-2,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/0c2f066d11c448109862cec46eb62521.png
4,0009-mega,メガカメックス,メガカメックス,exact,メガカメックス,https://zukan.pokemon.co.jp/detail/0009-1,0009-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/be595774fa703c2ca3a2179d1e885c8e.png
5,0015-mega,メガスピアー,メガスピアー,exact,メガスピアー,https://zukan.pokemon.co.jp/detail/0015-1,0015-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/b7c7f3673a25ab248cee5868b66fb551.png
6,0018-mega,メガピジョット,メガピジョット,exact,メガピジョット,https://zukan.pokemon.co.jp/detail/0018-1,0018-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/a809b36313a2e53ca307b5083232914f.png
7,0026-megaX,メガライチュウX,ライチュウ,drop_suffix_letter,メガライチュウＸ,https://zukan.pokemon.co.jp/detail/0026-2,0026-2,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/a2e1f37c8393352f5558b93b864ce128.png
8,0026-megaY,メガライチュウY,ライチュウ,drop_suffix_letter,メガライチュウＹ,https://zukan.pokemon.co.jp/detail/0026-3,0026-3,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/d69236919305395667c62a4fce1dbd81.png
9,0036-mega,メガピクシー,メガピクシー,exact,メガピクシー,https://zukan.pokemon.co.jp/detail/0036-1,0036-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/6e0bbca66e0e16e3f02db9ff8c5da8c5.png
10,0065-mega,メガフーディン,メガフーディン,exact,メガフーディン,https://zukan.pokemon.co.jp/detail/0065-1,0065-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/54de11620af8d516c639a6b2c7bc711c.png
11,0071-mega,メガウツボット,メガウツボット,exact,メガウツボット,https://zukan.pokemon.co.jp/detail/0071-1,0071-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/806c0b295d739e7389ca2f33186a79f3.png
12,0080-mega,メガヤドラン,メガヤドラン,exact,メガヤドラン,https://zukan.pokemon.co.jp/detail/0080-1,0080-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/8acfd6fb4ac5ae293efe4f7b0962b128.png
13,0094-mega,メガゲンガー,メガゲンガー,exact,メガゲンガー,https://zukan.pokemon.co.jp/detail/0094-1,0094-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/c5b98f9743ec98aa24e3ce7b8b3fef94.png
14,0115-mega,メガガルーラ,メガガルーラ,exact,メガガルーラ,https://zukan.pokemon.co.jp/detail/0115-1,0115-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/9dd8eb7150cae0c0c429924e59b4022e.png
15,0121-mega,メガスターミー,メガスターミー,exact,メガスターミー,https://zukan.pokemon.co.jp/detail/0121-1,0121-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/0f253cf526f582c55eb4a468266eec2f.png
16,0127-mega,メガカイロス,メガカイロス,exact,メガカイロス,https://zukan.pokemon.co.jp/detail/0127-1,0127-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/c4663c8602de0898e86e4781c17a86bb.png
17,0130-mega,メガギャラドス,メガギャラドス,exact,メガギャラドス,https://zukan.pokemon.co.jp/detail/0130-1,0130-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/239ec624388da3945eda22f92d454ff1.png
18,0142-mega,メガプテラ,メガプテラ,exact,メガプテラ,https://zukan.pokemon.co.jp/detail/0142-1,0142-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/87cb0be3c69a7dc5de0bd9500069f194.png
